Consumer-ID,UI,UX,Download-importance,Dark-Light,Logo-importance,Notifications,Local-community,Local-events,Local-culture-experience,Historical-aspects,Every-day-Posting,Travel-for-account-promotion,Travel-influ-posting,Posting-during-travel,My-posting-influence-travel,I-know-where-to-travel,Search-for-travel-media,Media-are-suffic,UGC-travel-suff,Media-important-for-travel-search,I-would-use-travel-app,I-use-travel-portals,I-traveled-to-place-from-social-media,Adverts-on-trip,I-use-travel-apps,I-will-share-photos-during-trip,I-can-create-travel-plan,There-is-need-of-travel-service,Stick-budget,Sea-view,Budget-for-apartament,Budget-for-culture,Only-Restauratns,Spontanous-buying,BudgetTrip2024,Most-expensive-trip,Abroad-feeling,Routine-forget,Same-experience-all-the-time,Same-experience-all-the-time-v2,Safety-during-trip,Own-experience,Cluster
178,5,4,5,1,3,4,5,4,5,5,1,1,5,5,4,5,2,3,4,4,5,4,4,4,3,4,4,5,2,5,3,3,5,5,6500,12000,5,4,2,2,4,4,0
179,5,4,5,2,3,5,5,5,5,3,1,4,3,4,3,4,4,4,3,4,4,4,4,3,3,2,4,3,3,4,2,4,2,4,4000,20000,5,4,4,3,4,4,0
180,5,4,4,4,4,3,5,3,5,2,1,3,5,5,5,5,2,2,4,4,4,2,2,2,2,4,5,3,2,3,3,1,4,4,3500,4000,5,5,2,1,3,5,0
181,4,5,5,1,2,5,3,2,3,4,1,4,3,4,4,4,5,4,4,3,5,2,2,2,2,4,4,4,2,5,2,2,2,5,8000,12000,4,4,2,3,4,2,0
200,4,4,4,5,4,2,5,5,5,5,1,1,1,3,5,5,5,5,5,5,5,2,5,5,5,3,5,5,4,5,2,5,3,5,2500,4000,5,5,5,2,5,3,0
198,4,3,4,5,3,4,4,4,4,4,1,2,3,3,3,4,3,3,3,4,5,4,4,2,4,3,3,4,2,5,2,4,3,4,4000,9000,4,4,3,3,4,4,0
197,4,5,4,1,3,5,5,4,4,3,4,4,3,3,4,5,5,4,4,4,4,4,4,3,3,3,3,4,3,3,1,3,3,3,3000,1500,3,3,3,3,3,3,0
196,4,4,5,4,2,4,5,5,5,5,3,4,4,4,5,5,5,4,4,4,4,5,4,5,4,3,4,2,1,3,3,5,3,4,5000,11000,5,5,1,3,4,4,0
195,4,4,5,1,3,5,5,4,5,4,1,2,1,4,4,4,4,2,4,4,5,3,4,4,2,1,3,4,2,4,2,4,4,4,3000,8000,5,4,4,3,4,4,0
194,4,4,3,2,3,4,5,4,5,4,3,4,5,5,5,4,4,4,4,3,5,4,4,3,2,4,4,4,1,4,3,4,3,5,6000,7000,5,5,2,2,4,4,0
193,5,3,5,4,3,3,2,3,4,2,1,3,2,3,4,4,2,3,5,4,5,1,5,4,2,1,5,4,4,3,2,4,1,3,3000,6400,5,5,1,1,3,5,0
192,3,4,4,3,3,3,5,4,5,5,1,4,4,4,4,4,2,2,4,3,4,4,4,4,4,4,4,4,4,4,2,4,5,4,4500,5000,5,5,2,2,5,5,0
190,5,5,5,2,4,4,4,3,4,4,1,4,4,4,4,5,2,2,4,4,4,1,1,5,1,2,2,5,3,2,2,2,1,1,4000,5000,5,5,2,1,4,2,0
188,1,1,1,2,3,4,5,5,5,5,1,2,2,3,4,4,4,3,4,5,4,4,4,2,3,2,3,4,4,4,4,2,3,4,6000,7500,4,5,4,2,4,4,0
187,5,4,4,3,2,5,5,2,5,2,3,5,5,3,5,5,5,4,5,5,5,4,2,3,1,5,4,5,1,4,2,3,3,5,5000,5000,5,5,2,1,3,3,0
186,5,5,3,1,2,3,4,3,5,4,1,2,4,4,5,5,5,4,4,4,5,4,4,4,2,4,4,4,3,4,4,2,2,4,4000,6000,4,4,2,2,4,3,0
184,4,5,5,1,3,4,5,4,5,4,3,4,4,4,5,5,5,5,5,5,4,3,4,4,4,4,4,5,4,5,2,4,2,3,4000,4000,5,5,2,3,5,4,0
183,2,5,5,1,1,4,5,2,5,4,1,1,1,5,5,5,2,2,5,5,4,4,4,4,1,1,4,1,1,5,4,2,4,4,2000,2000,4,4,2,2,4,4,0
182,5,5,2,3,3,4,5,5,5,5,1,4,3,5,5,5,2,3,4,4,4,4,5,4,2,3,5,3,2,1,1,3,2,4,3500,7000,5,5,1,1,4,5,0
155,4,4,3,5,3,4,5,3,4,4,1,2,2,3,4,4,3,3,4,4,4,4,2,3,2,2,2,3,4,4,3,3,2,4,3000,3000,5,5,2,2,4,4,0
154,4,3,5,1,4,5,5,2,5,1,1,4,1,5,5,5,1,5,5,5,5,5,5,4,5,1,4,5,1,1,2,4,2,1,3000,4000,5,5,4,1,5,5,0
153,5,4,4,4,3,3,4,3,5,5,3,4,4,5,4,5,3,3,5,4,4,4,4,4,2,4,4,4,3,4,2,4,2,4,4000,5000,5,5,2,2,4,4,0
113,5,5,4,5,3,3,5,4,4,4,1,3,3,3,5,4,2,3,4,4,4,4,4,4,4,3,4,3,4,3,2,5,3,5,6000,8000,4,4,1,3,5,5,0
108,5,3,2,3,2,4,5,3,5,4,1,2,4,3,4,4,4,3,4,4,4,3,2,4,4,4,4,4,2,5,5,2,3,4,4000,20000,4,5,1,1,3,2,0
106,3,4,5,5,4,4,5,4,4,4,1,1,1,2,4,4,3,4,4,4,4,3,4,3,3,3,4,4,3,4,2,4,4,4,3500,4000,5,4,3,4,5,5,0
203,5,4,5,5,3,3,5,4,4,3,1,2,2,5,2,4,4,2,4,4,5,2,2,4,2,2,2,5,4,2,1,4,1,4,5000,10000,4,5,2,1,5,2,0
100,4,5,5,3,3,3,5,4,4,4,2,2,1,3,4,3,2,2,3,4,5,4,3,4,4,1,4,4,3,4,3,4,4,4,2500,20000,5,4,2,4,5,5,0
99,4,4,4,4,3,5,5,5,5,4,2,3,3,3,4,4,3,2,4,4,4,3,4,3,2,3,3,4,3,4,4,3,3,4,3500,4000,5,5,2,2,4,3,0
98,5,5,4,4,3,3,3,3,3,4,2,3,5,4,4,4,4,3,3,4,4,4,4,3,2,2,4,4,4,5,3,2,4,3,5500,7000,4,5,3,2,5,2,0
97,4,4,4,2,3,4,4,4,4,4,2,4,2,3,4,4,3,2,4,3,4,4,4,4,2,3,4,4,2,5,2,4,4,5,4000,6500,4,4,2,2,4,3,0
95,4,5,5,1,3,4,4,3,4,4,2,3,4,4,4,5,4,4,5,4,4,4,4,5,3,4,3,3,2,4,3,3,4,4,6000,5000,5,5,2,3,4,3,0
94,5,4,5,5,3,5,5,5,5,5,2,4,4,5,4,4,4,4,4,5,5,5,5,4,2,4,4,5,2,5,2,4,4,3,7000,5000,5,5,1,1,5,3,0
90,4,5,4,2,4,3,4,3,4,4,1,2,2,4,4,3,2,3,4,4,5,3,4,4,3,2,3,4,3,3,3,3,2,4,5000,5000,4,4,2,3,4,2,0
89,4,4,5,1,2,4,4,2,4,2,1,4,4,4,4,4,2,2,2,3,5,4,2,4,1,4,2,4,1,2,2,2,2,4,6000,5000,5,5,2,2,4,3,0
88,3,3,4,4,2,2,5,5,5,5,2,2,1,3,5,3,2,1,2,3,4,4,3,4,4,2,4,4,4,4,2,5,2,4,3500,3500,5,5,2,3,4,5,0
86,3,3,5,3,2,3,5,5,5,5,1,4,4,4,5,4,4,2,3,3,4,4,4,4,4,3,4,4,4,4,2,4,2,4,2000,6000,5,5,2,2,4,3,0
82,4,4,4,3,3,4,5,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,5,4,4,4,3,4,2,4,2000,500,4,4,3,4,4,4,0
81,4,3,4,2,4,2,4,3,4,4,1,4,3,5,5,4,4,2,4,4,4,4,4,2,2,3,2,4,4,2,2,4,2,4,7000,8000,4,4,4,3,3,4,0
109,5,5,4,2,3,3,5,5,5,2,3,5,4,4,4,5,5,4,5,4,5,2,3,4,4,4,4,4,1,1,2,2,3,3,3000,11000,5,5,2,2,4,3,0
114,5,5,4,1,3,4,4,3,4,4,2,4,4,4,4,4,2,2,4,4,5,4,2,3,2,4,4,4,2,4,2,4,2,4,2000,3000,4,5,2,1,5,3,0
151,5,4,5,1,2,5,3,4,4,2,1,1,4,3,4,5,2,2,4,5,5,2,2,2,2,4,3,4,4,1,4,1,2,4,3000,3000,5,4,1,1,4,3,0
118,4,3,5,5,3,5,5,4,5,3,1,2,3,4,5,4,3,1,1,2,5,4,1,3,1,4,5,5,1,5,1,4,2,5,3500,6000,5,5,1,5,4,3,0
150,5,5,5,1,3,4,5,3,5,4,1,4,3,4,4,4,4,2,3,4,4,2,2,2,2,4,3,4,4,4,2,2,3,4,3500,3000,5,5,1,1,4,4,0
148,4,3,4,3,2,4,4,4,5,4,2,4,4,4,3,4,3,4,4,4,5,4,4,3,3,4,3,4,4,3,4,2,2,4,3500,3000,5,5,2,2,4,5,0
146,4,4,3,5,2,4,3,2,3,4,1,2,2,3,5,5,4,4,5,4,5,3,2,2,3,2,5,4,2,3,4,3,2,4,3500,2200,5,5,1,1,4,4,0
145,3,4,5,5,2,2,5,3,5,3,1,4,4,4,4,5,4,3,4,4,4,3,4,2,2,4,4,4,2,3,2,3,2,4,3000,5000,5,5,1,1,5,3,0
144,5,4,4,3,4,5,4,5,5,4,2,3,3,4,4,5,4,4,4,3,4,4,3,5,2,3,4,5,4,4,2,5,3,4,3500,4500,5,5,3,1,5,4,0
140,3,3,4,4,4,3,5,5,5,4,2,3,3,3,4,4,2,3,4,4,4,4,4,4,4,3,2,2,3,3,2,4,3,4,9000,24000,4,4,4,4,4,3,0
138,4,4,5,3,3,3,5,5,4,4,3,4,3,3,4,3,3,3,3,2,4,4,3,4,4,2,2,3,4,2,2,4,2,4,2500,3000,4,4,3,2,4,4,0
133,4,5,5,5,3,5,4,4,4,4,2,3,4,4,5,5,5,4,5,4,4,4,4,4,4,4,4,4,3,5,4,3,1,4,8000,8000,4,5,5,4,5,3,0
132,5,5,4,2,3,4,5,5,5,4,1,1,1,4,4,5,4,3,4,4,5,4,4,4,3,1,4,4,2,3,3,2,2,4,3300,6500,5,4,2,2,4,4,0
131,4,4,5,5,4,3,5,3,4,5,1,2,3,4,3,4,4,4,2,4,3,2,4,4,3,2,2,3,2,2,2,5,2,4,4000,6000,4,5,4,2,5,3,0
129,5,5,5,1,5,5,5,3,4,4,1,1,1,3,4,4,5,4,4,4,4,4,4,2,2,1,4,3,2,4,2,4,4,1,6000,3000,5,5,1,1,4,5,0
128,4,4,4,1,2,5,3,4,4,3,1,3,4,4,4,4,3,3,4,4,4,2,4,2,2,4,3,4,2,4,4,3,4,4,6000,25000,4,5,4,2,4,4,0
127,5,5,5,5,3,4,5,4,5,4,1,4,3,3,4,3,2,2,4,3,4,4,4,4,3,3,3,3,4,2,2,4,2,3,4000,25000,5,4,3,3,4,5,0
123,4,5,4,3,3,5,4,5,4,4,3,4,5,3,4,5,5,4,5,5,5,4,3,4,4,5,4,5,2,5,4,3,4,4,5000,10000,5,5,2,1,4,2,0
119,5,5,5,5,3,3,5,5,5,5,1,1,1,4,5,5,2,2,4,4,5,5,4,4,5,1,4,4,3,2,1,5,2,5,2000,3000,5,5,2,1,5,5,0
1,4,4,5,3,3,3,5,5,5,4,4,4,4,5,4,4,4,4,4,4,4,3,4,4,2,2,3,3,3,3,1,4,4,4,2000,5000,4,4,3,4,4,4,0
